KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-01,1.56241,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-02,1.54343,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-03,1.4881913043478,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-04,1.44633,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-05,1.4436380952381,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-06,1.4314954545455,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-07,1.4585545454545,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-08,1.4336727272727,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-09,1.3943272727273,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-10,1.416380952381,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-11,1.3813181818182,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2010-12,1.330352173913,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2011-01,1.3416904761905,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2011-02,1.3543,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2011-03,1.3854304347826,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
EXR.M.AUD.EUR.SP00.A,M,AUD,EUR,SP00,A,2011-04,1.3662210526316,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Australian dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, Australian dollar/Euro, 2.15 pm (C.E.T.)",AUD,0
