KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-01,0.88305,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-02,0.8760425,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-03,0.901602173913,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-04,0.874555,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-05,0.8571442857143,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-06,0.8277068181818,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-07,0.8356568181818,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-08,0.8236318181818,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-09,0.8398659090909,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-10,0.8763761904762,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-11,0.8550954545455,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
EXR.M.GBP.EUR.SP00.A,M,GBP,EUR,SP00,A,2010-12,0.8481282608696,A,F,,,P1M,,A,,,,,,,99Q1=100,,,5,,4F0,,Pound sterling/Euro ECB reference exchange rate,"ECB reference exchange rate, Pound sterling/Euro, 2.15 pm (C.E.T.)",GBP,0
