REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2026/01/01 00:05:00,1415.3,41.06,TRADE
SA1,2026/01/01 00:10:00,1431.82,22.35,TRADE
SA1,2026/01/01 00:15:00,1454.68,34.26,TRADE
SA1,2026/01/01 00:20:00,1426.98,44.70,TRADE
SA1,2026/01/01 00:25:00,1429.47,43.89,TRADE
SA1,2026/01/01 00:30:00,1425.58,30.12,TRADE
SA1,2026/01/01 00:35:00,1466.26,32.16,TRADE
SA1,2026/01/01 00:40:00,1473.61,20.86,TRADE
SA1,2026/01/01 00:45:00,1491.93,23.52,TRADE
SA1,2026/01/01 00:50:00,1471.06,23.76,TRADE
SA1,2026/01/01 00:55:00,1464.13,31.32,TRADE
SA1,2026/01/01 01:00:00,1449.47,26.57,TRADE
SA1,2026/01/01 01:05:00,1444.28,26.84,TRADE
SA1,2026/01/01 01:10:00,1455.31,24.31,TRADE
SA1,2026/01/01 01:15:00,1475.74,24.69,TRADE
SA1,2026/01/01 01:20:00,1458.15,26.66,TRADE
SA1,2026/01/01 01:25:00,1414.8,24.25,TRADE
SA1,2026/01/01 01:30:00,1405.36,23.69,TRADE
SA1,2026/01/01 01:35:00,1415.29,27.60,TRADE
SA1,2026/01/01 01:40:00,1434.87,26,TRADE
SA1,2026/01/01 01:45:00,1416.64,26.85,TRADE
SA1,2026/01/01 01:50:00,1410.36,26.88,TRADE
SA1,2026/01/01 01:55:00,1395.81,28.34,TRADE
SA1,2026/01/01 02:00:00,1382.69,24.32,TRADE
SA1,2026/01/01 02:05:00,1379.7,24.61,TRADE
SA1,2026/01/01 02:10:00,1379.77,20.22,TRADE
SA1,2026/01/01 02:15:00,1377.04,18.93,TRADE
SA1,2026/01/01 02:20:00,1378.38,20.18,TRADE
SA1,2026/01/01 02:25:00,1363.74,24.38,TRADE
SA1,2026/01/01 02:30:00,1355.51,18.20,TRADE
SA1,2026/01/01 02:35:00,1335.57,8.74,TRADE
SA1,2026/01/01 02:40:00,1331.93,8.96,TRADE
SA1,2026/01/01 02:45:00,1318.08,8.87,TRADE
SA1,2026/01/01 02:50:00,1307.5,8.91,TRADE
SA1,2026/01/01 02:55:00,1323.46,8.96,TRADE
SA1,2026/01/01 03:00:00,1304.78,8.87,TRADE
SA1,2026/01/01 03:05:00,1295.8,9.10,TRADE
SA1,2026/01/01 03:10:00,1299.68,2.88,TRADE
SA1,2026/01/01 03:15:00,1296.69,0.01,TRADE
SA1,2026/01/01 03:20:00,1288.23,2.88,TRADE
SA1,2026/01/01 03:25:00,1279.16,8.93,TRADE
SA1,2026/01/01 03:30:00,1269.02,0.01,TRADE
SA1,2026/01/01 03:35:00,1266.81,2.87,TRADE
SA1,2026/01/01 03:40:00,1274.21,8.98,TRADE
SA1,2026/01/01 03:45:00,1272.15,8.72,TRADE
SA1,2026/01/01 03:50:00,1274.12,9.07,TRADE
SA1,2026/01/01 03:55:00,1258.8,0.10,TRADE
SA1,2026/01/01 04:00:00,1270.32,12.87,TRADE
SA1,2026/01/01 04:05:00,1249.21,12.86,TRADE
SA1,2026/01/01 04:10:00,1251.65,12.86,TRADE
SA1,2026/01/01 04:15:00,1251.88,13.24,TRADE
SA1,2026/01/01 04:20:00,1263.39,12.86,TRADE
SA1,2026/01/01 04:25:00,1252.92,9.01,TRADE
SA1,2026/01/01 04:30:00,1247.4,9.10,TRADE
SA1,2026/01/01 04:35:00,1251.27,9.10,TRADE
SA1,2026/01/01 04:40:00,1256.42,8.97,TRADE
SA1,2026/01/01 04:45:00,1250.04,24.28,TRADE
SA1,2026/01/01 04:50:00,1247.65,24.99,TRADE
SA1,2026/01/01 04:55:00,1234.73,19.98,TRADE
SA1,2026/01/01 05:00:00,1241.08,18.20,TRADE
SA1,2026/01/01 05:05:00,1241.95,24.59,TRADE
SA1,2026/01/01 05:10:00,1236.35,24.53,TRADE
SA1,2026/01/01 05:15:00,1245.02,24.64,TRADE
SA1,2026/01/01 05:20:00,1237.1,24.81,TRADE
SA1,2026/01/01 05:25:00,1235.62,24.29,TRADE
SA1,2026/01/01 05:30:00,1245.81,24.31,TRADE
SA1,2026/01/01 05:35:00,1234.99,22.52,TRADE
SA1,2026/01/01 05:40:00,1232.86,24.27,TRADE
SA1,2026/01/01 05:45:00,1215.95,11.75,TRADE
SA1,2026/01/01 05:50:00,1206.57,0,TRADE
SA1,2026/01/01 05:55:00,1202.22,0,TRADE
SA1,2026/01/01 06:00:00,1199.65,-5.39,TRADE
SA1,2026/01/01 06:05:00,1215.79,-4.81,TRADE
SA1,2026/01/01 06:10:00,1194.86,-6.48,TRADE
SA1,2026/01/01 06:15:00,1191.94,-8.37,TRADE
SA1,2026/01/01 06:20:00,1173.47,-11.66,TRADE
SA1,2026/01/01 06:25:00,1146.66,-8.12,TRADE
SA1,2026/01/01 06:30:00,1102.85,-11.66,TRADE
SA1,2026/01/01 06:35:00,1110.59,-7.98,TRADE
SA1,2026/01/01 06:40:00,1103.84,-9.62,TRADE
SA1,2026/01/01 06:45:00,1079.72,-13.77,TRADE
SA1,2026/01/01 06:50:00,1055.68,-15.18,TRADE
SA1,2026/01/01 06:55:00,1038.14,-15.57,TRADE
SA1,2026/01/01 07:00:00,1038.33,-15.30,TRADE
SA1,2026/01/01 07:05:00,1064.4,-11.66,TRADE
