Service,EFA Date,Delivery Start,Delivery End,EFA,Cleared Volume,Clearing Price
DCH,2021-09-16,2021-09-15T23:00:00,2021-09-16T03:00:00,1,0,0
DCH,2021-09-16,2021-09-16T03:00:00,2021-09-16T07:00:00,2,0,0
DCH,2021-09-16,2021-09-16T07:00:00,2021-09-16T11:00:00,3,0,0
DCH,2021-09-16,2021-09-16T11:00:00,2021-09-16T15:00:00,4,0,0
DCH,2021-09-16,2021-09-16T15:00:00,2021-09-16T19:00:00,5,0,0
DCH,2021-09-16,2021-09-16T19:00:00,2021-09-16T23:00:00,6,0,0
DCL,2021-09-16,2021-09-15T23:00:00,2021-09-16T03:00:00,1,467,17
DCL,2021-09-16,2021-09-16T03:00:00,2021-09-16T07:00:00,2,467,17
DCL,2021-09-16,2021-09-16T07:00:00,2021-09-16T11:00:00,3,374,17
DCL,2021-09-16,2021-09-16T11:00:00,2021-09-16T15:00:00,4,380,17
DCL,2021-09-16,2021-09-16T15:00:00,2021-09-16T19:00:00,5,262,17
DCL,2021-09-16,2021-09-16T19:00:00,2021-09-16T23:00:00,6,218,17
DCH,2021-09-17,2021-09-16T23:00:00,2021-09-17T03:00:00,1,0,0
DCH,2021-09-17,2021-09-17T03:00:00,2021-09-17T07:00:00,2,0,0
DCH,2021-09-17,2021-09-17T07:00:00,2021-09-17T11:00:00,3,0,0
DCH,2021-09-17,2021-09-17T11:00:00,2021-09-17T15:00:00,4,0,0
DCH,2021-09-17,2021-09-17T15:00:00,2021-09-17T19:00:00,5,0,0
DCH,2021-09-17,2021-09-17T19:00:00,2021-09-17T23:00:00,6,0,0
DCL,2021-09-17,2021-09-16T23:00:00,2021-09-17T03:00:00,1,726,17
DCL,2021-09-17,2021-09-17T03:00:00,2021-09-17T07:00:00,2,677,17
DCL,2021-09-17,2021-09-17T07:00:00,2021-09-17T11:00:00,3,675,17
DCL,2021-09-17,2021-09-17T11:00:00,2021-09-17T15:00:00,4,677,17
DCL,2021-09-17,2021-09-17T15:00:00,2021-09-17T19:00:00,5,545,17
DCL,2021-09-17,2021-09-17T19:00:00,2021-09-17T23:00:00,6,501,17
DCH,2021-09-18,2021-09-17T23:00:00,2021-09-18T03:00:00,1,0,0
DCH,2021-09-18,2021-09-18T03:00:00,2021-09-18T07:00:00,2,0,0
DCH,2021-09-18,2021-09-18T07:00:00,2021-09-18T11:00:00,3,0,0
DCH,2021-09-18,2021-09-18T11:00:00,2021-09-18T15:00:00,4,0,0
DCH,2021-09-18,2021-09-18T15:00:00,2021-09-18T19:00:00,5,0,0
DCH,2021-09-18,2021-09-18T19:00:00,2021-09-18T23:00:00,6,0,0
DCL,2021-09-18,2021-09-17T23:00:00,2021-09-18T03:00:00,1,822,17
DCL,2021-09-18,2021-09-18T03:00:00,2021-09-18T07:00:00,2,822,17
DCL,2021-09-18,2021-09-18T07:00:00,2021-09-18T11:00:00,3,817,17
DCL,2021-09-18,2021-09-18T11:00:00,2021-09-18T15:00:00,4,822,17
DCL,2021-09-18,2021-09-18T15:00:00,2021-09-18T19:00:00,5,781,17
DCL,2021-09-18,2021-09-18T19:00:00,2021-09-18T23:00:00,6,730,17
DCH,2021-09-19,2021-09-18T23:00:00,2021-09-19T03:00:00,1,0,0
DCH,2021-09-19,2021-09-19T03:00:00,2021-09-19T07:00:00,2,0,0
DCH,2021-09-19,2021-09-19T07:00:00,2021-09-19T11:00:00,3,0,0
DCH,2021-09-19,2021-09-19T11:00:00,2021-09-19T15:00:00,4,0,0
DCH,2021-09-19,2021-09-19T15:00:00,2021-09-19T19:00:00,5,0,0
DCH,2021-09-19,2021-09-19T19:00:00,2021-09-19T23:00:00,6,0,0
DCL,2021-09-19,2021-09-18T23:00:00,2021-09-19T03:00:00,1,765,17
DCL,2021-09-19,2021-09-19T03:00:00,2021-09-19T07:00:00,2,766,17
DCL,2021-09-19,2021-09-19T07:00:00,2021-09-19T11:00:00,3,815,17
DCL,2021-09-19,2021-09-19T11:00:00,2021-09-19T15:00:00,4,811,17
DCL,2021-09-19,2021-09-19T15:00:00,2021-09-19T19:00:00,5,716,17
DCL,2021-09-19,2021-09-19T19:00:00,2021-09-19T23:00:00,6,672,17
DCH,2021-09-20,2021-09-19T23:00:00,2021-09-20T03:00:00,1,0,0
DCH,2021-09-20,2021-09-20T03:00:00,2021-09-20T07:00:00,2,0,0
DCH,2021-09-20,2021-09-20T07:00:00,2021-09-20T11:00:00,3,0,0
DCH,2021-09-20,2021-09-20T11:00:00,2021-09-20T15:00:00,4,0,0
DCH,2021-09-20,2021-09-20T15:00:00,2021-09-20T19:00:00,5,0,0
DCH,2021-09-20,2021-09-20T19:00:00,2021-09-20T23:00:00,6,0,0
DCL,2021-09-20,2021-09-19T23:00:00,2021-09-20T03:00:00,1,719,17
DCL,2021-09-20,2021-09-20T03:00:00,2021-09-20T07:00:00,2,719,17
DCL,2021-09-20,2021-09-20T07:00:00,2021-09-20T11:00:00,3,659,17
DCL,2021-09-20,2021-09-20T11:00:00,2021-09-20T15:00:00,4,669,17
DCL,2021-09-20,2021-09-20T15:00:00,2021-09-20T19:00:00,5,390,17
DCL,2021-09-20,2021-09-20T19:00:00,2021-09-20T23:00:00,6,405,17
DCH,2021-09-21,2021-09-20T23:00:00,2021-09-21T03:00:00,1,0,0
DCH,2021-09-21,2021-09-21T03:00:00,2021-09-21T07:00:00,2,0,0
DCH,2021-09-21,2021-09-21T07:00:00,2021-09-21T11:00:00,3,0,0
DCH,2021-09-21,2021-09-21T11:00:00,2021-09-21T15:00:00,4,0,0
DCH,2021-09-21,2021-09-21T15:00:00,2021-09-21T19:00:00,5,0,0
DCH,2021-09-21,2021-09-21T19:00:00,2021-09-21T23:00:00,6,0,0
DCL,2021-09-21,2021-09-20T23:00:00,2021-09-21T03:00:00,1,823,17
DCL,2021-09-21,2021-09-21T03:00:00,2021-09-21T07:00:00,2,823,17
DCL,2021-09-21,2021-09-21T07:00:00,2021-09-21T11:00:00,3,775,17
DCL,2021-09-21,2021-09-21T11:00:00,2021-09-21T15:00:00,4,813,17
DCL,2021-09-21,2021-09-21T15:00:00,2021-09-21T19:00:00,5,758,17
DCL,2021-09-21,2021-09-21T19:00:00,2021-09-21T23:00:00,6,776,17
DCH,2021-09-22,2021-09-21T23:00:00,2021-09-22T03:00:00,1,0,0
DCH,2021-09-22,2021-09-22T03:00:00,2021-09-22T07:00:00,2,0,0
DCH,2021-09-22,2021-09-22T07:00:00,2021-09-22T11:00:00,3,0,0
DCH,2021-09-22,2021-09-22T11:00:00,2021-09-22T15:00:00,4,0,0
DCH,2021-09-22,2021-09-22T15:00:00,2021-09-22T19:00:00,5,0,0
DCH,2021-09-22,2021-09-22T19:00:00,2021-09-22T23:00:00,6,0,0
DCL,2021-09-22,2021-09-21T23:00:00,2021-09-22T03:00:00,1,791,17
DCL,2021-09-22,2021-09-22T03:00:00,2021-09-22T07:00:00,2,791,17
DCL,2021-09-22,2021-09-22T07:00:00,2021-09-22T11:00:00,3,752,17
DCL,2021-09-22,2021-09-22T11:00:00,2021-09-22T15:00:00,4,778,17
DCL,2021-09-22,2021-09-22T15:00:00,2021-09-22T19:00:00,5,768,17
DCL,2021-09-22,2021-09-22T19:00:00,2021-09-22T23:00:00,6,791,17
DCH,2021-09-23,2021-09-22T23:00:00,2021-09-23T03:00:00,1,0,0
DCH,2021-09-23,2021-09-23T03:00:00,2021-09-23T07:00:00,2,0,0
DCH,2021-09-23,2021-09-23T07:00:00,2021-09-23T11:00:00,3,0,0
DCH,2021-09-23,2021-09-23T11:00:00,2021-09-23T15:00:00,4,0,0
DCH,2021-09-23,2021-09-23T15:00:00,2021-09-23T19:00:00,5,0,0
DCH,2021-09-23,2021-09-23T19:00:00,2021-09-23T23:00:00,6,0,0
DCL,2021-09-23,2021-09-22T23:00:00,2021-09-23T03:00:00,1,832,17
DCL,2021-09-23,2021-09-23T03:00:00,2021-09-23T07:00:00,2,832,17
DCL,2021-09-23,2021-09-23T07:00:00,2021-09-23T11:00:00,3,772,17
DCL,2021-09-23,2021-09-23T11:00:00,2021-09-23T15:00:00,4,778,17
DCL,2021-09-23,2021-09-23T15:00:00,2021-09-23T19:00:00,5,739,17
DCL,2021-09-23,2021-09-23T19:00:00,2021-09-23T23:00:00,6,777,17
DCH,2021-09-24,2021-09-23T23:00:00,2021-09-24T03:00:00,1,0,0
DCH,2021-09-24,2021-09-24T03:00:00,2021-09-24T07:00:00,2,0,0
DCH,2021-09-24,2021-09-24T07:00:00,2021-09-24T11:00:00,3,0,0
DCH,2021-09-24,2021-09-24T11:00:00,2021-09-24T15:00:00,4,0,0
DCH,2021-09-24,2021-09-24T15:00:00,2021-09-24T19:00:00,5,0,0
DCH,2021-09-24,2021-09-24T19:00:00,2021-09-24T23:00:00,6,0,0
DCL,2021-09-24,2021-09-23T23:00:00,2021-09-24T03:00:00,1,832,17
DCL,2021-09-24,2021-09-24T03:00:00,2021-09-24T07:00:00,2,832,17
DCL,2021-09-24,2021-09-24T07:00:00,2021-09-24T11:00:00,3,819,17
DCL,2021-09-24,2021-09-24T11:00:00,2021-09-24T15:00:00,4,823,17
DCL,2021-09-24,2021-09-24T15:00:00,2021-09-24T19:00:00,5,782,17
DCL,2021-09-24,2021-09-24T19:00:00,2021-09-24T23:00:00,6,759,17
DCH,2021-09-25,2021-09-24T23:00:00,2021-09-25T03:00:00,1,0,0
DCH,2021-09-25,2021-09-25T03:00:00,2021-09-25T07:00:00,2,0,0
DCH,2021-09-25,2021-09-25T07:00:00,2021-09-25T11:00:00,3,0,0
DCH,2021-09-25,2021-09-25T11:00:00,2021-09-25T15:00:00,4,0,0
DCH,2021-09-25,2021-09-25T15:00:00,2021-09-25T19:00:00,5,0,0
DCH,2021-09-25,2021-09-25T19:00:00,2021-09-25T23:00:00,6,0,0
DCL,2021-09-25,2021-09-24T23:00:00,2021-09-25T03:00:00,1,814,17
DCL,2021-09-25,2021-09-25T03:00:00,2021-09-25T07:00:00,2,814,17
