Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
04.01.2026;UTC;23:00;23:15;EUR/MWh;151,44;113,15;N.E.
04.01.2026;UTC;23:15;23:30;EUR/MWh;103,94;112,04;N.E.
04.01.2026;UTC;23:30;23:45;EUR/MWh;74,83;92,85;N.E.
04.01.2026;UTC;23:45;00:00;EUR/MWh;86,03;80,49;N.E.
05.01.2026;UTC;00:00;00:15;EUR/MWh;139,25;105,38;N.E.
05.01.2026;UTC;00:15;00:30;EUR/MWh;131,95;110,59;N.E.
05.01.2026;UTC;00:30;00:45;EUR/MWh;145,21;113,79;N.E.
05.01.2026;UTC;00:45;01:00;EUR/MWh;141,42;119,77;N.E.
05.01.2026;UTC;01:00;01:15;EUR/MWh;86,41;77,98;N.E.
05.01.2026;UTC;01:15;01:30;EUR/MWh;92,73;95,67;N.E.
05.01.2026;UTC;01:30;01:45;EUR/MWh;103,96;84,49;N.E.
05.01.2026;UTC;01:45;02:00;EUR/MWh;83,79;66,20;N.E.
05.01.2026;UTC;02:00;02:15;EUR/MWh;79,13;70,20;N.E.
05.01.2026;UTC;02:15;02:30;EUR/MWh;73,75;67,70;N.E.
05.01.2026;UTC;02:30;02:45;EUR/MWh;35,40;89,57;N.E.
05.01.2026;UTC;02:45;03:00;EUR/MWh;36,80;101,16;N.E.
05.01.2026;UTC;03:00;03:15;EUR/MWh;33,60;95,11;N.E.
05.01.2026;UTC;03:15;03:30;EUR/MWh;67,18;90,06;N.E.
05.01.2026;UTC;03:30;03:45;EUR/MWh;64,14;110,88;N.E.
05.01.2026;UTC;03:45;04:00;EUR/MWh;96,13;84,75;N.E.
05.01.2026;UTC;04:00;04:15;EUR/MWh;67,95;63,46;N.E.
05.01.2026;UTC;04:15;04:30;EUR/MWh;73,94;42,63;N.E.
05.01.2026;UTC;04:30;04:45;EUR/MWh;104,91;88,28;N.E.
05.01.2026;UTC;04:45;05:00;EUR/MWh;118,25;111,06;N.E.
05.01.2026;UTC;05:00;05:15;EUR/MWh;75,51;75,36;N.E.
05.01.2026;UTC;05:15;05:30;EUR/MWh;109,24;126,85;N.E.
05.01.2026;UTC;05:30;05:45;EUR/MWh;116,37;140,01;N.E.
05.01.2026;UTC;05:45;06:00;EUR/MWh;112,53;129,90;N.E.
05.01.2026;UTC;06:00;06:15;EUR/MWh;94,53;70,96;N.E.
05.01.2026;UTC;06:15;06:30;EUR/MWh;132,30;89,39;N.E.
05.01.2026;UTC;06:30;06:45;EUR/MWh;169,62;149,33;N.E.
05.01.2026;UTC;06:45;07:00;EUR/MWh;165,67;153,23;N.E.
05.01.2026;UTC;07:00;07:15;EUR/MWh;114,72;93,86;N.E.
05.01.2026;UTC;07:15;07:30;EUR/MWh;135,26;142,98;N.E.
05.01.2026;UTC;07:30;07:45;EUR/MWh;210,84;153,85;N.E.
05.01.2026;UTC;07:45;08:00;EUR/MWh;173,90;114,93;N.E.
05.01.2026;UTC;08:00;08:15;EUR/MWh;145,81;188,44;N.E.
05.01.2026;UTC;08:15;08:30;EUR/MWh;204,02;187,25;N.E.
05.01.2026;UTC;08:30;08:45;EUR/MWh;214,82;211,30;N.E.
05.01.2026;UTC;08:45;09:00;EUR/MWh;220,91;246,31;N.E.
05.01.2026;UTC;09:00;09:15;EUR/MWh;206,38;275,29;N.E.
05.01.2026;UTC;09:15;09:30;EUR/MWh;197,50;285,99;N.E.
05.01.2026;UTC;09:30;09:45;EUR/MWh;183,80;236,24;N.E.
05.01.2026;UTC;09:45;10:00;EUR/MWh;173,53;226,99;N.E.
05.01.2026;UTC;10:00;10:15;EUR/MWh;158,27;173,70;N.E.
05.01.2026;UTC;10:15;10:30;EUR/MWh;165,54;158,66;N.E.
05.01.2026;UTC;10:30;10:45;EUR/MWh;201,40;127,77;N.E.
05.01.2026;UTC;10:45;11:00;EUR/MWh;263,68;145,89;N.E.
05.01.2026;UTC;11:00;11:15;EUR/MWh;191,24;181,34;N.E.
